concept_id,preferred_en,locale,source_course_ids,status,derivation
math.homological.higher_derived_functor,higher derived functor,en,O014,active,curated_override
math.homological.cohomological_delta_functor,cohomological δ-functor,en,O014,active,curated_override
math.homological.homological_delta_functor,homological δ-functor,en,O014,active,curated_override
math.homological.f_acyclic_object,F-acyclic object,en,O014,active,curated_override
math.homological.dimension_shifting,dimension shifting,en,O014,active,curated_override
math.homological.universal_cohomological_delta_functor,universal cohomological δ-functor,en,O014,active,curated_override
math.homological.universal_homological_delta_functor,universal homological δ-functor,en,O014,active,curated_override
math.homological.inverse_system,inverse system,en,O014,active,curated_override
math.category.countable_product,countable product,en,O014,active,curated_override
math.category.countable_coproduct,countable coproduct,en,O014,active,curated_override
math.homological.exact_countable_product,exact countable product,en,O014,active,curated_override
math.category.shift_morphism,shift morphism,en,O014,active,curated_override
math.category.stable_image,stable image,en,O014,active,curated_override
math.homological.ext_functor,Ext functor,en,O014,active,curated_override
math.homological.tor_functor,Tor functor,en,O014,active,curated_override
math.homological.flat_resolution,flat resolution,en,O014,active,curated_override
math.homological.kunneth_theorem,Künneth theorem,en,O014,active,curated_override
math.homological.enough_k_injective_complexes,enough K-injective complexes,en,O014,active,curated_override
math.homological.enough_k_projective_complexes,enough K-projective complexes,en,O014,active,curated_override
math.homological.split_exact_complex,split exact complex,en,O014,active,curated_override
math.homological.reduced_bar_complex,reduced bar complex,en,O014,active,curated_override
math.algebra.square_zero_extension,square-zero extension,en,O014,active,curated_override
math.category.autoequivalence,autoequivalence,en,O014,active,curated_override
math.homological.cohomological_functor,cohomological functor,en,O014,active,curated_override
math.category.verdier_localization,Verdier localization,en,O014,active,curated_override
math.homological.triangulated_subcategory,triangulated subcategory,en,O014,active,curated_override
math.homological.bounded_below_derived_category,bounded-below derived category,en,O014,active,curated_override
math.homological.bounded_above_derived_category,bounded-above derived category,en,O014,active,curated_override
math.homological.bounded_derived_category,bounded derived category,en,O014,active,curated_override
math.homological.unbounded_derived_category,unbounded derived category,en,O014,active,curated_override
math.homological.derived_functor_amplitude,derived functor amplitude,en,O014,active,curated_override
math.homological.derived_functor_dimension,derived functor dimension,en,O014,active,curated_override
math.homological.grothendieck_spectral_sequence,Grothendieck spectral sequence,en,O014,active,curated_override
math.homological.derived_hom_functor,derived Hom functor,en,O014,active,curated_override
math.homological.derived_bifunctor_theory,derived bifunctor theory,en,O014,active,curated_override
math.homological.derived_inverse_limit_functor,derived inverse limit functor,en,O014,active,curated_override
math.homotopy.homotopy_limit,homotopy limit,en,O014,active,curated_override
math.homological.derived_tensor_product,derived tensor product,en,O014,active,curated_override
math.homological.triangulated_bifunctor,triangulated bifunctor,en,O014,active,curated_override
math.category.associativity_constraint,associativity constraint,en,O014,active,curated_override
math.homological.derived_tensor_hom_adjunction,derived tensor–Hom adjunction,en,O014,active,curated_override
math.homological.k_flat_resolution,K-flat resolution,en,O014,active,curated_override
math.homological.effaceability,effaceability,en,O014,active,curated_override
math.homological.n_extension,n-extension,en,O014,active,curated_override
math.homological.yoneda_ext_theorem,Yoneda Ext theorem,en,O014,active,curated_override
math.homological.unbounded_derived_functor,unbounded derived functor,en,O014,active,curated_override
math.category.category_with_translation,category with translation,en,O014,active,curated_override
math.category.translation_functor,translation functor,en,O014,active,curated_override
math.category.morphism_with_degree,morphism of degree,en,O014,active,curated_override
math.homological.triangle,triangle,en,O014,active,curated_override
math.homological.pretriangulated_category,pretriangulated category,en,O014,active,curated_override
